Comment,NE Parameter Name,Resource Type,Resource Sub-Type,nsv7a0cscf0001c,EndOfNOKIALABNEs,EndOfMappingRulesNEs,EndOfNEs,Service/Feature,Ticket/CR,Notes,Feature ID,Defect ID,CR ID,MOP,Misc,Spare1,Spare2,Spare3,Spare4,Spare5,Spare6,Attspare1,Attspare2,Attspare3,Attspare4,Attspare5,Attspare6,Attspare7,Attspare8,Attspare9,Attspare10,Attspare11,Attspare12,Attspare13,Attspare14,Attspare15,Attspare16,Attspare17,Attspare18,Attspare19,Attspare20
Comment e2503,NE Parameter Name,Resource Type,Resource Sub-Type,"NSV7  vCSCF-Core 1
(Services)",EndOfNOKIALABNEs,EndOfMAPPINGRULESNEs,EndOfNEs,Service/Feature,Ticket/CR,Notes,Feature ID,Defect ID,CR ID,MOP,Misc,Spare1,Spare2,Spare3,Spare4,Spare5,Spare6,Attspare1,Attspare2,Attspare3,Attspare4,Attspare5,Attspare6,Attspare7,Attspare8,Attspare9,Attspare10,Attspare11,Attspare12,Attspare13,Attspare14,Attspare15,Attspare16,Attspare17,Attspare18,Attspare19,Attspare20
*H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Versioning.ApsName,Other,cfx^OfflineParameter,IMSCL24071186.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IMSTrafficModel,Other,cfx^OfflineParameter,custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DnsOverCoreLAN,Other,cfx^OfflineParameter,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rtp_Tic_WriteEmptyFiles,Other,cfx^OfflineParameter,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rtp_Tic_CompressionMethod,Other,cfx^OfflineParameter,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SSH_MaxAuthTries,Other,cfx^OfflineParameter,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SSH_AccountLockingPeriod,Other,cfx^OfflineParameter,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SSH_SSH_LOGIN_GRACE_TIME,Other,cfx^OfflineParameter,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SSH_AUTO_TIMEOUT_SHELL,Other,cfx^OfflineParameter,7200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SSH_DELAY_AUTH_FAIL,Other,cfx^OfflineParameter,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SSH_DisableRootLogin,Other,cfx^OfflineParameter,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CrdbEnvoyGRSiteValue,Other,cfx^OfflineParameter,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CrdbEnvoyLocalSiteId,Other,cfx^OfflineParameter,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CrdbEnvoyExtGateway,Other,cfx^OfflineParameter,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dnsserver_ipaddress,Other,cfx^OfflineParameter,2620::60:8B2:8768:197:66:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dnsserver_ipaddress2,Other,cfx^OfflineParameter,2620::60:884:8768:202:132:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dnsserver_ipaddress3,Other,cfx^OfflineParameter,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dnsserver_ipaddress4,Other,cfx^OfflineParameter,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dnsserver_ipaddress5,Other,cfx^OfflineParameter,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
